"","Year","CountyName","Population","Municipal","Manufacturing","Mining","Power","Irrigation","LiveStock"
"42",2008,"DALLAS",2387963,177098063394,7721365296,626937324,500832987,9167,290984943
"43",2008,"HUNT",83915,3457930812,157711884,22809570,92215833,189,326502702
"44",2008,"KAUFMAN",100248,3610103229,219297723,63540945,6517020,108,413830770
"45",2008,"ROCKWALL",76126,3854817330,10101381,0,0,0,34540206
"46",2009,"COLLIN",785314,48187823433,252208674,0,10427232,650,214409958
"47",2009,"DALLAS",2429276,156398052768,7673465199,746850492,336278232,6700,287400582
"48",2009,"HUNT",84240,3299241375,164880606,22809570,90586578,137,358761951
"49",2009,"KAUFMAN",102865,3739466076,200398365,70057965,6517020,0,391998753
"50",2009,"ROCKWALL",81267,3427626669,10101381,0,0,0,33236802
"51",2010,"COLLIN",782341,54964872531,246017505,0,9123828,724,397212369
"52",2010,"DALLAS",2368139,162207650247,6701451666,845909196,166509861,8993,291636645
"53",2010,"HUNT",86129,4488923376,180847305,22809570,111766893,341,384504180
"54",2010,"KAUFMAN",103350,4522160178,219949425,76249134,16944252,162,697646991
"55",2010,"ROCKWALL",78337,4205758857,10101381,0,0,0,34540206
"56",2011,"COLLIN",812434,72246706167,667342848,0,13034040,2618,402751836
"57",2011,"DALLAS",2403579,161260727241,6637584870,651702,347031315,11837,292614198
"58",2011,"HUNT",87213,5548264977,159992841,0,121542423,350,388414392
"59",2011,"KAUFMAN",105342,5084904855,235916124,0,33562653,157,714591243
"60",2011,"ROCKWALL",81203,5050690500,1629255,0,0,250,33888504
"61",2012,"COLLIN",827521,70164844128,731861346,0,13034040,4049,195510600
"62",2012,"DALLAS",2427813,153958406331,6130234863,28674888,284793774,11084,260680800
"63",2012,"HUNT",87582,5204166321,180195603,0,97429449,349,271433883
"64",2012,"KAUFMAN",106914,4608184842,209196342,0,48225948,295,343772805
"65",2012,"ROCKWALL",82980,4252681401,1303404,0,0,260,28674888
"66",2013,"COLLIN",854036,61395542016,682657845,0,4236063,3492,238522932
"67",2013,"DALLAS",2459095,148282407762,5889105123,37798716,187364325,10060,284467923
"68",2013,"HUNT",88452,3211261605,120239019,0,67451157,374,339536742
"69",2013,"KAUFMAN",108298,4309705326,184757517,0,14663295,327,387762690
"70",2013,"ROCKWALL",85050,4192724817,1303404,0,0,253,41057226
"71",2014,"COLLIN",881901,54930984027,672882315,0,12056487,3171,251231121
"72",2014,"DALLAS",2513648,148097976096,5246201100,651702,317053023,10368,105901575
"73",2014,"HUNT",89738,3216801072,128385294,0,98732853,363,400470879
"74",2014,"KAUFMAN",111433,3928133805,191600388,0,8146275,293,414808323
"75",2014,"ROCKWALL",87342,3900110619,1303404,0,0,240,43338183
"76",2015,"COLLIN",923201,61584209745,719804859,0,6191169,3369,253837929
"77",2015,"DALLAS",2541528,156766264398,5460936909,325851,300760473,7259,107204979
"78",2015,"HUNT",90112,3955505289,106227426,0,71035518,201,397864071
"79",2015,"KAUFMAN",114037,4376504781,308255046,0,3191058843,351,429797469
"80",2015,"ROCKWALL",91103,4310682879,1303404,0,0,167,44641587
"81",2016,"COLLIN",939585,62959626816,1042397349,0,6191169,1560,257422290
"82",2016,"DALLAS",2574984,147868251141,5610828369,24764676,338885040,6939,108508383
"83",2016,"HUNT",92073,3902065725,92867535,0,62237541,232,398515773
"84",2016,"KAUFMAN",118350,4304165859,296524410,0,3033346959,392,435336936
"85",2016,"ROCKWALL",93978,4256917464,1629255,0,0,7,44641587
"86",2017,"COLLIN",969603,65494421745,1137219990,0,4887765,1536,255793035
"87",2017,"DALLAS",2618148,148750655649,5848699599,23787123,319985682,7986,59304882
"88",2017,"HUNT",93872,3808546488,92541684,0,21832017,235,383852478
"89",2017,"KAUFMAN",122883,4556700384,316075470,0,2949929103,113,472483950
"90",2017,"ROCKWALL",96788,4624803243,1303404,0,0,7,26068080
