"","Year","CountyName","Population","Municipal","Manufacturing","Mining","Power","Irrigation","LiveStock"
"27",2005,"DALLAS",2300359,81273.8213278884,3267.06721168305,20.3979222373551,351.580854118857,0.00441235476723416,114.596660347363
"28",2005,"HUNT",82396,52522.2963614739,1759.8390091752,0,1732.15614835672,0.00182047672217098,4702.13164474004
"29",2005,"KAUFMAN",89390,46335.0717194317,4640.43319163217,0,0,0.00167804004922251,6670.85054256628
"30",2005,"ROCKWALL",61786,62848.6447900819,163.489803515359,0,0,0,748.888777392937
"31",2006,"COLLIN",696306,75212.295628646,935.941956553584,46.3291268494024,245.684763595316,0.00134710888603574,424.917648275327
"32",2006,"DALLAS",2340063,78820.5385457571,3678.11820194585,24.2292938267047,111.816798522091,0.00479687940025546,115.158770084395
"33",2006,"HUNT",83050,56299.0487537628,1824.45171583384,0,1404.6316435882,0.00487658037326912,4869.12812763396
"34",2006,"KAUFMAN",93807,44608.3825514087,3980.78230835652,0,0,0.00190817316404959,7235.57552208257
"35",2006,"ROCKWALL",69658,58024.2872893279,154.369677567544,0,0,0,664.25740044216
"36",2007,"COLLIN",731350,64573.61219799,485.646530389007,26.2872892595884,147.921695494633,0.000957134067136118,462.923619334108
"37",2007,"DALLAS",2364853,75063.7890909076,3587.89074373756,21.9084691522052,632.314244902326,0.00356343502111971,118.498638181739
"38",2007,"HUNT",83704,49151.7099063366,1888.05475246105,0,665.685283857402,0.00467122240275256,4566.36747347797
"39",2007,"KAUFMAN",96498,39599.3147733632,2353.6047068333,0,0,0.00103629090758358,7425.50466330908
"40",2007,"ROCKWALL",72373,45082.3658408523,139.573888052174,0,0,0,414.219280670968
"41",2008,"COLLIN",760013,67849.1638971965,416.739150514531,25.2958949386392,64.3115973016251,0.000726303365863479,310.410642975844
"42",2008,"DALLAS",2387963,74162.8171768156,3233.45265232334,262.540635679866,209.732306153822,0.00383883669889358,121.854879242266
"43",2008,"HUNT",83915,41207.5411070726,1879.42422689626,271.817553476732,1098.91953762736,0.00225227909193827,3890.87412262408
"44",2008,"KAUFMAN",100248,36011.7232164233,2187.55210079004,633.837532918363,65.0089777352167,0.00107732822599952,4128.07008618626
"45",2008,"ROCKWALL",76126,50637.3292961669,132.692917006016,0,0,0,453.724167827024
"46",2009,"COLLIN",785314,61361.2178478927,321.15647244287,0,13.2777869743822,0.000827694399947028,273.024494660734
"47",2009,"DALLAS",2429276,64380.5202735301,3158.74573288502,307.437480138115,138.427347077895,0.00275802337815876,118.307093142154
"48",2009,"HUNT",84240,39164.7836538462,1957.27215099715,270.768874643875,1075.33924501425,0.00162630579297246,4258.80758547009
"49",2009,"KAUFMAN",102865,36353.1432071161,1948.16861906382,681.067078209303,63.3550770427259,0,3810.80788411996
"50",2009,"ROCKWALL",81267,42177.3495883938,124.298682121895,0,0,0,408.982760530104
"51",2010,"COLLIN",782341,70256.9244498243,314.463264740056,0,11.6622137916842,0.000925427658783063,507.72280757368
"52",2010,"DALLAS",2368139,68495.831641217,2829.83881689377,357.204199584568,70.3125369752367,0.00379749668410511,123.150138146452
"53",2010,"HUNT",86129,52118.6055335601,2099.72605045919,264.830312670529,1297.66853208559,0.00395917751280057,4464.28241358892
"54",2010,"KAUFMAN",103350,43755.7830478955,2128.19956458636,737.775849056604,163.950188679245,0.00156748911465893,6750.33373004354
"55",2010,"ROCKWALL",78337,53688.0255434852,128.94776414721,0,0,0,440.918161277557
"56",2011,"COLLIN",812434,88926.246522179,821.411767602045,0,16.0431985859774,0.00322241560545226,495.734836306703
"57",2011,"DALLAS",2403579,67091.9188597504,2761.54221267535,0.271138165211129,144.381072974926,0.0049247393158286,121.741036179797
"58",2011,"HUNT",87213,63617.4076915139,1834.50679371195,0,1393.62736059991,0.0040131631752147,4453.62952770803
"59",2011,"KAUFMAN",105342,48270.4415617702,2239.52577319588,0,318.606567181181,0.00149038370260675,6783.53594008088
"60",2011,"ROCKWALL",81203,62198.3239535485,20.0639754688866,0,0,0.00307870398876889,417.330689752842
"61",2012,"COLLIN",827521,84789.2006704362,884.402143268872,0,15.7507060243788,0.00489292718855473,236.260590365683
"62",2012,"DALLAS",2427813,63414.4418581662,2525.00289890531,11.8109953278939,117.304658142946,0.00456542575560803,107.372684799035
"63",2012,"HUNT",87582,59420.5010276084,2057.4501952456,0,1112.43690484346,0.00398483706697723,3099.19712954717
"64",2012,"KAUFMAN",106914,43101.7906167574,1956.67865761266,0,451.072338515068,0.00275922704229568,3215.41430495538
"65",2012,"ROCKWALL",82980,51249.4745842372,15.7074475777296,0,0,0.00313328512894673,345.563846710051
"66",2013,"COLLIN",854036,71888.7049445223,799.331462608134,0,4.9600520352772,0.00408882061177749,279.289083832532
"67",2013,"DALLAS",2459095,60299.5849131489,2394.82619540929,15.3709864807988,76.1923898832701,0.00409093589308262,115.679924118426
"68",2013,"HUNT",88452,36305.1327838828,1359.37026862027,0,762.573565323565,0.00422828200605978,3838.65533848867
"69",2013,"KAUFMAN",108298,39794.8745683207,1706.0104249386,0,135.397652772904,0.0030194463424994,3580.51570666125
"70",2013,"ROCKWALL",85050,49297.175978836,15.3251499118166,0,0,0.00297472075249853,482.742222222222
"71",2014,"COLLIN",881901,62287.0186415482,762.990760867716,0,13.6710208969034,0.00359564168767243,284.874516527365
"72",2014,"DALLAS",2513648,58917.5477616595,2087.08661674188,0.259265418228805,126.132625968314,0.00412468253311522,42.1306304621809
"73",2014,"HUNT",89738,35846.5875325949,1430.66810047026,0,1100.23460518398,0.00404510909536651,4462.66775502017
"74",2014,"KAUFMAN",111433,35251.0818608491,1719.42232552296,0,73.1046907110102,0.00262938267838073,3722.49085100464
"75",2014,"ROCKWALL",87342,44653.3239335028,14.9229923748025,0,0,0.00274781891873326,496.189496462183
"76",2015,"COLLIN",923201,66707.2606561301,779.683794753255,0,6.70619832517512,0.00364925947870507,274.95413133218
"77",2015,"DALLAS",2541528,61681.8954573784,2148.68256773091,0.128210666968847,118.338445612246,0.00285615582437022,42.1813094327507
"78",2015,"HUNT",90112,43895.4333385121,1178.83773526278,0,788.30253462358,0.00223055752840909,4415.21740722656
"79",2015,"KAUFMAN",114037,38377.9368187518,2703.11430500627,0,27982.6621447425,0.00307794838517323,3768.92998763559
"80",2015,"ROCKWALL",91103,47316.5853923581,14.3069273240179,0,0,0.0018330900189895,490.012260847612
"81",2016,"COLLIN",939585,67007.9096792733,1109.4231485177,0,6.58925908778876,0.00166030747617299,273.974456808059
"82",2016,"DALLAS",2574984,57424.9203649421,2178.97601266649,9.6174096615746,131.60665852681,0.00269477402578035,42.1394397013729
"83",2016,"HUNT",92073,42380.1301684533,1008.62940275651,0,675.95865237366,0.00251973977170289,4328.25880551302
"84",2016,"KAUFMAN",118350,36368.1103422053,2505.48719898606,0,25630.3080608365,0.00331220954795099,3678.38560202788
"85",2016,"ROCKWALL",93978,45296.9574155653,17.336557492179,0,0,7.44855178871651e-05,475.021675285705
"86",2017,"COLLIN",969603,67547.6682157543,1172.87177329278,0,5.04099616028416,0.0015841535143765,263.812132388204
"87",2017,"DALLAS",2618148,56815.2203958676,2233.90717369683,9.08547683324243,122.218332195124,0.00305024773236654,22.6514627897277
"88",2017,"HUNT",93872,40571.6985682632,985.8284046361,0,232.572194051474,0.00250340889722175,4089.10514317368
"89",2017,"KAUFMAN",122883,37081.6173433266,2572.16596274505,0,24005.9984131247,0.00091957390363191,3844.99035668075
"90",2017,"ROCKWALL",96788,47782.8164958466,13.4665867669546,0,0,7.23230152498244e-05,269.331735339092
